ID,adj.P.Val,P.Value,t,B,logFC,GB_ACC,GI,Gene.Symbol,SPOT_ID
11739128_a_at,1.50E-12,3.04E-17,-1.82E+01,28.875504,-3.46,BC041846.1,NA,CDH3,
11719434_a_at,2.87E-12,1.16E-16,-1.73E+01,27.643798,-2.34,NM_001079675.1,NA,ETV4,
11731795_at,4.66E-12,2.83E-16,-1.67E+01,26.82257,-3.06,NM_173567.4,NA,EPHX4,
11737294_a_at,1.12E-11,9.09E-16,1.60E+01,25.73565,5.41,BC137202.1,NA,TMIGD1,
11734322_at,2.05E-11,2.08E-15,1.55E+01,24.960237,3.33,NM_001201.2,NA,BMP3,
11732838_at,3.06E-11,3.71E-15,1.51E+01,24.414299,4.92,NM_007102.2,NA,GUCA2B,
11718027_a_at,4.86E-11,6.89E-15,-1.47E+01,23.831727,-1.45,NM_001002019.1,NA,PUS1,
11757706_a_at,7.09E-11,1.15E-14,-1.44E+01,23.346887,-1.63,BU536156,NA,DCUN1D5,
11728234_a_at,9.47E-11,1.73E-14,-1.42E+01,22.960722,-3.88,AY358652.1,NA,CLDN1,
11731957_at,1.10E-10,2.23E-14,1.41E+01,22.717872,4.6,NM_033553.2,NA,GUCA2A,
11729172_s_at,1.21E-10,2.72E-14,-1.40E+01,22.528163,-1.19,AB044971.1,NA,NIFK,
11754909_a_at,1.21E-10,2.94E-14,1.39E+01,22.454158,2.94,AK075168.1,NA,C2orf88,
11716383_x_at,1.77E-10,4.67E-14,-1.37E+01,22.013235,-9.45E-01,NM_005998.3,NA,CCT3,
11742188_a_at,1.79E-10,5.28E-14,1.36E+01,21.894654,3.11,EF531618.1,NA,SLC4A4,
11750144_x_at,1.79E-10,5.44E-14,-1.36E+01,21.866984,-9.46E-01,AK300765.1,NA,CCT3,
11750604_a_at,1.96E-10,6.33E-14,-1.35E+01,21.72138,-2.33,AY648295.1,NA,GTF2IRD1,
11750675_x_at,2.84E-10,9.78E-14,1.33E+01,21.305661,1.84,BC157856.1,NA,TMEM236,
11715228_s_at,3.67E-10,1.34E-13,1.31E+01,21.004729,3,,31341260,SLC51B,
11729989_a_at,4.13E-10,1.59E-13,1.30E+01,20.839629,2,NM_001127222.1,NA,CACNA1A,
11754189_s_at,4.50E-10,1.82E-13,1.29E+01,20.709285,2.12,BM907551,NA,AKR1C1 /// AKR1C2,
11723239_a_at,4.77E-10,2.04E-13,1.29E+01,20.600105,2.29,NM_052847.2,NA,GNG7 /// LOC101929097,
11716382_a_at,4.77E-10,2.12E-13,-1.29E+01,20.562112,-8.81E-01,NM_005998.3,NA,CCT3,
11728232_a_at,4.78E-10,2.25E-13,-1.28E+01,20.504322,-4.12,NM_021101.3,NA,CLDN1,
11736281_a_at,4.78E-10,2.32E-13,-1.28E+01,20.476382,-2.98,AJ001417.1,NA,SLC22A3,
11732768_at,5.18E-10,2.63E-13,1.27E+01,20.356814,2.16,NM_173557.2,NA,RNF152,
11745192_a_at,5.18E-10,2.78E-13,1.27E+01,20.30125,2.4,BC006141.1,NA,EPB41L3,
11718028_x_at,5.18E-10,2.97E-13,-1.27E+01,20.239883,-1.23,NM_001002019.1,NA,PUS1,
11740757_s_at,5.18E-10,2.97E-13,-1.27E+01,20.2377,-2.93,U80456.1,NA,SIM2,
11727264_at,5.18E-10,3.08E-13,-1.27E+01,20.204765,-1.81,NM_025061.3,NA,LRRC8E,
11755695_a_at,5.18E-10,3.15E-13,1.26E+01,20.183322,1.42,AK092914.1,NA,FUCA1,
11731900_s_at,5.47E-10,3.49E-13,-1.26E+01,20.083105,-1.65,NM_002703.3,NA,PPAT,
11758861_at,5.47E-10,3.62E-13,1.26E+01,20.047422,2.75,BC150656.1,NA,ZG16,
11750844_a_at,5.47E-10,3.65E-13,1.26E+01,20.039859,2.15,BC109208.1,NA,SLC17A4,
11750432_a_at,5.58E-10,3.90E-13,-1.25E+01,19.975895,-9.37E-01,AK316387.1,NA,CCT3,
11762999_at,5.58E-10,4.03E-13,1.25E+01,19.945602,3.12,AF343666.1,NA,IGH,
11727141_s_at,5.58E-10,4.07E-13,1.25E+01,19.936756,2.94,NM_012307.2,NA,EPB41L3,
11759415_at,5.60E-10,4.36E-13,1.25E+01,19.870252,3.19,NM_178859.2,NA,SLC51B,
11734319_a_at,5.60E-10,4.40E-13,1.25E+01,19.86085,2.8,AB020527.1,NA,SLC17A4,
11723302_a_at,5.60E-10,4.46E-13,1.25E+01,19.848287,5.13,NM_001275.3,NA,CHGA,
11725665_at,5.60E-10,4.53E-13,-1.25E+01,19.832148,-1.32,BU076914,NA,HS2ST1,
11715637_a_at,5.91E-10,4.91E-13,1.24E+01,19.755687,1.42,NM_006759.3,NA,UGP2,
11722546_a_at,6.01E-10,5.23E-13,1.24E+01,19.693992,1.36,NM_024308.3,NA,DHRS11,
11723641_a_at,6.01E-10,5.23E-13,1.24E+01,19.69398,1.43,NM_000147.3,NA,FUCA1,
11723826_a_at,6.29E-10,5.61E-13,1.23E+01,19.626779,2.92,NM_001042519.1,NA,C2orf88,
11755607_a_at,6.73E-10,6.13E-13,-1.23E+01,19.540626,-2.32,BC091523.1,NA,KIAA1549,
11716408_a_at,6.98E-10,6.62E-13,-1.23E+01,19.466959,-1.91,NM_001127500.1,NA,MET,
11715530_a_at,6.98E-10,6.64E-13,-1.23E+01,19.463743,-1.18,BM548507,NA,CCT6A,
11756637_a_at,7.00E-10,6.80E-13,-1.23E+01,19.440344,-1.12,CR591202.1,NA,RNF219,
11739696_s_at,7.09E-10,7.03E-13,1.22E+01,19.408302,2.41,AK091320.1,NA,AFF3,
11727850_x_at,7.16E-10,7.24E-13,-1.22E+01,19.379476,-9.83E-01,NM_016101.3,NA,NIP7,
11745020_a_at,7.44E-10,7.68E-13,-1.22E+01,19.322683,-2.26,AB035481.1,NA,TNFRSF12A,
11732545_s_at,7.46E-10,7.99E-13,-1.22E+01,19.284185,-1.17,NM_014062.1,NA,NOB1,
11722661_at,7.46E-10,8.00E-13,-1.22E+01,19.283332,-2.42,NM_004289.6,NA,NFE2L3,
11725225_at,7.67E-10,8.39E-13,1.21E+01,19.237885,3.03,NM_022097.2,NA,CHP2,
11721719_at,7.75E-10,8.63E-13,1.21E+01,19.209722,2.11,NM_014435.3,NA,NAAA,
11732128_s_at,7.95E-10,9.02E-13,-1.21E+01,19.167794,-8.26E-01,BC106934.1,NA,CCT4,
11746638_a_at,8.07E-10,9.40E-13,1.21E+01,19.127904,1.19,CR457356.1,NA,DHRS11,
11728998_x_at,8.07E-10,9.50E-13,1.21E+01,19.117891,2.1,NM_001491.2,NA,GCNT2,
11758287_s_at,8.07E-10,9.75E-13,1.21E+01,19.092732,2.98,BQ286010,NA,TMEM236,
11726013_a_at,8.07E-10,9.80E-13,-1.21E+01,19.087272,-1.84,BC034968.2,NA,AJUBA,
11719591_s_at,9.29E-10,1.15E-12,1.20E+01,18.934828,1.38,NM_016433.3,NA,GLTP,
11732094_a_at,9.51E-10,1.19E-12,1.20E+01,18.896453,4.04,NM_004160.3,NA,PYY,
11758028_s_at,9.95E-10,1.27E-12,-1.19E+01,18.837268,-5.15,BQ184392,NA,FOXQ1,
11741113_a_at,1.09E-09,1.42E-12,1.19E+01,18.729446,1.83,U96628.1,NA,PDCD4,
11736163_a_at,1.09E-09,1.45E-12,1.19E+01,18.705429,2.86,BC014469.1,NA,CDKN2B,
11756338_x_at,1.09E-09,1.48E-12,1.19E+01,18.689309,1.67,AL568188,NA,DHRS11,
11755576_a_at,1.09E-09,1.49E-12,1.19E+01,18.682043,2.61,AK000094.1,NA,TRPM6,
11736852_at,1.09E-09,1.50E-12,1.19E+01,18.672967,2.79,BC136298.1,NA,LRRC19,
11743354_a_at,1.39E-09,1.94E-12,1.17E+01,18.426834,1.61,CA430031,NA,PDCD4,
11733699_a_at,1.46E-09,2.07E-12,-1.17E+01,18.363268,-1.56,NM_201443.1,NA,TEAD4,
11727176_a_at,1.51E-09,2.17E-12,1.17E+01,18.319631,1.73,NM_001249.2,NA,ENTPD5,
11746018_a_at,1.51E-09,2.21E-12,1.17E+01,18.301769,1.37,AK300154.1,NA,GRAMD3,
11750433_x_at,1.53E-09,2.26E-12,-1.17E+01,18.277064,-9.70E-01,AK316387.1,NA,CCT3,
11744098_at,1.69E-09,2.53E-12,-1.16E+01,18.168705,-1.15,AK307396.1,NA,NOP58,
11716982_at,1.73E-09,2.65E-12,-1.16E+01,18.123431,-1.6,NM_032359.2,NA,CMSS1,
11729101_a_at,1.73E-09,2.66E-12,1.16E+01,18.121927,1.95,NM_205845.1,NA,AKR1C2,
11757926_s_at,1.89E-09,2.95E-12,1.15E+01,18.020959,1.51,N93113,NA,SLC9A9,
11729990_x_at,2.14E-09,3.38E-12,1.15E+01,17.887806,1.45,NM_001127222.1,NA,CACNA1A,
11726508_a_at,2.24E-09,3.58E-12,1.14E+01,17.832049,3.04,NM_078487.2,NA,CDKN2B,
11729233_a_at,2.32E-09,3.76E-12,-1.14E+01,17.78349,-1.25,BC008348.1,NA,E2F6,
11756456_a_at,2.32E-09,3.82E-12,-1.14E+01,17.767676,-1.44,CR626239.1,NA,C10orf2,
11720426_a_at,2.32E-09,3.86E-12,1.14E+01,17.758804,9.82E-01,NM_015285.2,NA,WDR7,
11718290_a_at,2.32E-09,3.93E-12,-1.14E+01,17.740865,-1.16,NM_144779.1,NA,FXYD5,
11716831_at,2.32E-09,3.97E-12,-1.14E+01,17.731291,-1.08,NM_007235.3,NA,XPOT,
11718302_at,2.32E-09,4.01E-12,1.14E+01,17.720771,1.85,NM_000196.3,NA,HSD11B2,
11719019_at,2.32E-09,4.05E-12,-1.14E+01,17.711171,-1.19,NM_001755.2,NA,CBFB,
11735123_x_at,2.32E-09,4.09E-12,-1.14E+01,17.702507,-9.40E-01,NM_022490.1,NA,POLR1E,
11739339_s_at,2.36E-09,4.20E-12,1.13E+01,17.675573,2.31,AK091327.1,NA,FAM46C,
11727833_at,2.39E-09,4.37E-12,-1.13E+01,17.637788,-1.15,AW276385,NA,WDR43,
11722660_a_at,2.39E-09,4.42E-12,-1.13E+01,17.626341,-2.75,BC068455.1,NA,NFE2L3,
11727143_x_at,2.39E-09,4.46E-12,1.13E+01,17.61808,2.57,DB340552,NA,EPB41L3,
11758438_s_at,2.39E-09,4.48E-12,1.13E+01,17.613471,2.59,DB377592,NA,CD36,
11723665_a_at,2.39E-09,4.50E-12,1.13E+01,17.609095,1.57,BC039847.1,NA,PLPP1,
11717444_at,2.42E-09,4.61E-12,-1.13E+01,17.586297,-1.55,NM_004053.3,NA,BYSL,
11723599_a_at,2.43E-09,4.67E-12,1.13E+01,17.574131,1.54,NM_015020.2,NA,PHLPP2,
11758073_s_at,2.56E-09,4.98E-12,-1.13E+01,17.510936,-6.45E-01,DB322180,NA,ZC3H15,
11728986_x_at,2.74E-09,5.38E-12,-1.12E+01,17.43639,-2.37,NM_015440.3,NA,MTHFD1L,
11749885_a_at,2.75E-09,5.50E-12,1.12E+01,17.414685,1.58,AK300645.1,NA,ACADS,
11726897_s_at,2.75E-09,5.52E-12,1.12E+01,17.410309,1.38,AK299651.1,NA,ADGRL3,
11715344_at,2.75E-09,5.56E-12,-1.12E+01,17.403556,-1.03,,194363754,GSTP1,
11729750_a_at,2.78E-09,5.68E-12,1.12E+01,17.382531,2.47,NM_057159.2,NA,LPAR1,
11745543_x_at,2.82E-09,5.82E-12,-1.12E+01,17.359161,-1.83,BC007580.1,NA,AJUBA,
11728308_at,2.85E-09,5.95E-12,1.12E+01,17.338462,1.62,NM_019010.1,NA,KRT20,
11730881_a_at,2.85E-09,6.01E-12,-1.12E+01,17.327827,-2.24,CA413770,NA,NEBL,
11722840_s_at,2.85E-09,6.05E-12,-1.12E+01,17.321855,-1.35,NM_017816.2,NA,LYAR,
11719498_s_at,2.94E-09,6.30E-12,-1.12E+01,17.282349,-1.07,NM_003904.3,NA,ZPR1,
11721128_a_at,3.02E-09,6.55E-12,-1.11E+01,17.244952,-1.12,NM_014377.1,NA,DNAJC2,
11728578_a_at,3.07E-09,6.71E-12,-1.11E+01,17.221504,-1.45,NM_001142406.1,NA,PRELID3A,
11743468_at,3.19E-09,7.03E-12,-1.11E+01,17.17585,-1.5,CR594173.1,NA,DKC1,
11758145_s_at,3.46E-09,7.70E-12,1.11E+01,17.087291,2.47,AI472316,NA,LIFR,
11743499_a_at,3.48E-09,7.81E-12,-1.11E+01,17.072954,-1.32,DR005787,NA,PSMG4,
11731461_x_at,3.59E-09,8.14E-12,1.10E+01,17.033249,3.24,BC022276.1,NA,CPM,
11743655_a_at,3.63E-09,8.31E-12,1.10E+01,17.012983,2.5,DB377018,NA,HPGD,
11723585_a_at,3.74E-09,8.65E-12,1.10E+01,16.973813,2.09,NM_006714.3,NA,SMPDL3A,
11720140_at,3.74E-09,8.72E-12,1.10E+01,16.966098,1.19,NM_031430.2,NA,RILP,
11721389_a_at,3.77E-09,8.86E-12,1.10E+01,16.950423,1.79,NM_006998.3,NA,SCGN,
11722085_a_at,3.83E-09,9.14E-12,-1.10E+01,16.920234,-1.5,NM_032346.1,NA,PDCD2L,
11727834_at,3.83E-09,9.15E-12,-1.10E+01,16.918854,-1.22,NM_015131.1,NA,WDR43,
11722944_at,3.97E-09,9.56E-12,-1.10E+01,16.876398,-8.57E-01,NM_024675.3,NA,PALB2,
11758175_s_at,4.24E-09,1.03E-11,1.09E+01,16.804781,1.57,DB372621,NA,SLC36A1,
11727749_a_at,4.53E-09,1.11E-11,1.09E+01,16.730704,2.08,AB019246.1,NA,NR5A2,
11728126_x_at,4.69E-09,1.16E-11,1.09E+01,16.689689,1.6,NM_001145643.1,NA,PHGR1,
11743500_x_at,4.91E-09,1.22E-11,-1.08E+01,16.636213,-1.24,DR005787,NA,PSMG4,
11756210_a_at,4.95E-09,1.24E-11,-1.08E+01,16.621754,-1.16,AL582781,NA,RCL1,
11717833_a_at,5.04E-09,1.28E-11,-1.08E+01,16.595353,-1.17,NM_017746.2,NA,TEX10,
11758633_s_at,5.15E-09,1.31E-11,-1.08E+01,16.565724,-9.08E-01,R11632,NA,PDCD5,
11757985_s_at,5.22E-09,1.34E-11,1.08E+01,16.54482,1.89,CB052914,NA,PDE7B,
11728968_a_at,5.27E-09,1.37E-11,-1.08E+01,16.52292,-8.84E-01,NM_015423.2,NA,AASDHPPT,
11724845_a_at,5.27E-09,1.38E-11,-1.08E+01,16.521084,-9.91E-01,NM_176880.4,NA,NR2C2AP,
11746389_a_at,5.35E-09,1.42E-11,-1.08E+01,16.493014,-2.11,AK296968.1,NA,CDH3,
11747996_a_at,5.35E-09,1.42E-11,-1.08E+01,16.491515,-1.48,AK315961.1,NA,ETV4,
11754382_a_at,5.38E-09,1.44E-11,1.08E+01,16.477842,2.07,AK055768.1,NA,SMIM5,
11730346_x_at,5.39E-09,1.45E-11,-1.08E+01,16.469165,-1.87,AK128629.1,NA,PUS7,
11716143_a_at,5.61E-09,1.52E-11,-1.07E+01,16.422593,-1.1,NM_005866.2,NA,SIGMAR1,
11722783_at,5.71E-09,1.56E-11,-1.07E+01,16.397468,-4.24,NM_033260.3,NA,FOXQ1,
11735116_a_at,5.71E-09,1.58E-11,-1.07E+01,16.387222,-1.96,BC130420.1,NA,MET,
11744121_a_at,5.71E-09,1.58E-11,1.07E+01,16.384946,1.37,AI445264,NA,LGALS4,
11726807_a_at,5.88E-09,1.65E-11,-1.07E+01,16.34656,-1.89,AB030034.1,NA,ZAK,
11730091_at,5.88E-09,1.65E-11,1.07E+01,16.341653,3.78,NM_153274.2,NA,BEST4,
11741114_x_at,6.05E-09,1.71E-11,1.07E+01,16.307126,1.82,NM_014456.3,NA,PDCD4,
11754801_x_at,6.12E-09,1.75E-11,1.07E+01,16.288673,1.57,CR617594.1,NA,PLPP1,
11721892_a_at,6.15E-09,1.77E-11,-1.07E+01,16.276928,-1.01,NM_022662.2,NA,ANAPC1,
11721125_at,6.17E-09,1.79E-11,1.07E+01,16.267071,1.54,BC025740.1,NA,SPPL2A,
11756284_x_at,6.18E-09,1.80E-11,-1.07E+01,16.257757,-1.84,CR627423.1,NA,RNF43,
11746264_a_at,6.23E-09,1.83E-11,1.07E+01,16.243929,1.73,AB000888.1,NA,PLPP1,
11733581_a_at,6.32E-09,1.87E-11,1.06E+01,16.223122,2.54,NM_005182.2,NA,CA7,
11727033_at,6.34E-09,1.89E-11,1.06E+01,16.213338,1.56,BU624369,NA,PAPSS2,
11727554_s_at,6.47E-09,1.95E-11,1.06E+01,16.179117,3.43,BC093027.1,NA,PKIB,
11726288_a_at,6.47E-09,1.98E-11,1.06E+01,16.168501,1.26,BC008590.1,NA,GRAMD3,
11734320_a_at,6.47E-09,1.98E-11,1.06E+01,16.165285,3.14,NM_005495.2,NA,SLC17A4,
11758134_s_at,6.47E-09,2.00E-11,-1.06E+01,16.158482,-1.74,AW138786,NA,PPM1H,
11739338_at,6.47E-09,2.00E-11,1.06E+01,16.157162,2.43,AK091327.1,NA,FAM46C,
11735331_a_at,6.47E-09,2.01E-11,1.06E+01,16.149324,2.2,BC022520.1,NA,RUNDC3B,
11721557_a_at,6.47E-09,2.02E-11,1.06E+01,16.148442,4.12,NM_007168.2,NA,ABCA8,
11744183_a_at,6.60E-09,2.08E-11,1.06E+01,16.116757,1.56,CR608104.1,NA,ACADS,
11716524_a_at,6.60E-09,2.08E-11,-1.06E+01,16.116386,-1.06,NM_012394.3,NA,PFDN2,
11717309_x_at,6.81E-09,2.16E-11,-1.06E+01,16.079602,-8.16E-01,NM_032168.1,NA,WDR75,
11723238_at,6.98E-09,2.23E-11,1.06E+01,16.04892,9.00E-01,BC014466.1,NA,GNG7,
11736430_a_at,6.98E-09,2.25E-11,-1.06E+01,16.043063,-9.02E-01,NM_017948.5,NA,NOL8,
11746243_x_at,7.30E-09,2.37E-11,-1.05E+01,15.99234,-9.65E-01,BC062610.1,NA,E2F6,
11751841_a_at,7.31E-09,2.38E-11,1.05E+01,15.985657,3.18,AY684975.1,NA,TNFRSF17,
11735234_a_at,7.39E-09,2.42E-11,-1.05E+01,15.969135,-1.6,NM_033518.2,NA,SLC38A5,
11715814_a_at,7.44E-09,2.46E-11,-1.05E+01,15.956356,-1.2,NM_016292.2,NA,TRAP1,
11728896_a_at,7.53E-09,2.50E-11,-1.05E+01,15.938533,-1.85,NM_004631.3,NA,LRP8,
11742734_s_at,7.58E-09,2.53E-11,-1.05E+01,15.926404,-1.41,AK292438.1,NA,WDR3,
11717157_a_at,7.63E-09,2.56E-11,-1.05E+01,15.914351,-8.38E-01,BC106011.1,NA,ACP1,
11718932_a_at,7.67E-09,2.61E-11,1.05E+01,15.898173,2.08,NM_080489.3,NA,FKBP1A-SDCBP2 /// SDCBP2,
11717158_at,7.67E-09,2.61E-11,-1.05E+01,15.897342,-1.35,NM_015871.4,NA,ZNF593,
11720450_a_at,7.73E-09,2.65E-11,-1.05E+01,15.883127,-1.71,NM_017763.4,NA,RNF43,
11734459_x_at,7.75E-09,2.67E-11,1.05E+01,15.873799,1.97,NM_000114.2,NA,EDN3,
11722143_at,7.75E-09,2.68E-11,1.05E+01,15.869603,1.27,NM_014831.1,NA,TRANK1,
11728985_s_at,7.83E-09,2.73E-11,-1.05E+01,15.854333,-2.22,NM_015440.3,NA,MTHFD1L,
11734727_a_at,7.87E-09,2.76E-11,1.05E+01,15.843349,1.57,AY324389.1,NA,IL16,
11755295_x_at,7.89E-09,2.80E-11,-1.05E+01,15.828362,-1.06,AK098451.1,NA,SIGMAR1,
11755608_x_at,7.89E-09,2.80E-11,-1.05E+01,15.827979,-2.04,BC091523.1,NA,KIAA1549,
11717308_a_at,7.89E-09,2.81E-11,-1.05E+01,15.82348,-9.25E-01,NM_032168.1,NA,WDR75,
11743657_x_at,7.92E-09,2.85E-11,1.05E+01,15.810768,2.64,BX335988,NA,HPGD,
11744890_a_at,7.92E-09,2.87E-11,-1.04E+01,15.804222,-1.14,AK301721.1,NA,GTPBP4,
11745028_a_at,7.92E-09,2.87E-11,-1.04E+01,15.803817,-1.28,EF216689.1,NA,NKRF,
11727553_a_at,7.99E-09,2.91E-11,1.04E+01,15.79014,3.3,BC093027.1,NA,PKIB,
11726808_at,7.99E-09,2.94E-11,-1.04E+01,15.781774,-1.93,CA944881,NA,ZAK,
11743089_a_at,7.99E-09,2.95E-11,-1.04E+01,15.778559,-1.95,NM_012472.3,NA,LRRC6,
11716210_at,8.06E-09,2.99E-11,1.04E+01,15.76284,1.84,NM_006079.3,NA,CITED2,
11739062_s_at,8.06E-09,3.00E-11,-1.04E+01,15.760269,-1.2,AF325353.1,NA,GTPBP4,
11730956_a_at,8.34E-09,3.12E-11,1.04E+01,15.7212,1.07,AF020498.1,NA,P2RX1,
11727034_at,9.40E-09,3.54E-11,1.04E+01,15.599266,1.59,BC009894.2,NA,PAPSS2,
11719720_s_at,9.43E-09,3.57E-11,-1.03E+01,15.590116,-7.80E-01,NM_016199.2,NA,LSM7,
11723163_s_at,9.44E-09,3.59E-11,1.03E+01,15.584422,2.45,NM_000901.3,NA,NR3C2,
11720663_a_at,9.53E-09,3.65E-11,1.03E+01,15.569536,1.26,NM_002067.2,NA,GNA11,
11717511_a_at,9.73E-09,3.74E-11,-1.03E+01,15.544091,-1.26,NM_032830.2,NA,UTP4,
11761921_x_at,9.90E-09,3.83E-11,1.03E+01,15.522059,2.14,D13902.1,NA,PYY,
11724759_s_at,1.02E-08,3.95E-11,1.03E+01,15.49203,9.68E-01,NM_006888.3,NA,CALM1 /// CALM2,
11746911_s_at,1.05E-08,4.12E-11,1.03E+01,15.449883,8.89E-01,AK298177.1,NA,CALCOCO2,
11731798_a_at,1.05E-08,4.13E-11,1.03E+01,15.448677,3.72,NM_006498.2,NA,LGALS2,
11717820_a_at,1.05E-08,4.13E-11,1.03E+01,15.447991,4.39,NM_001098484.2,NA,SLC4A4,
11727142_a_at,1.05E-08,4.16E-11,1.03E+01,15.440578,1.47,DB340552,NA,EPB41L3,
11719721_x_at,1.07E-08,4.27E-11,-1.03E+01,15.414304,-8.32E-01,NM_016199.2,NA,LSM7,
11755429_a_at,1.07E-08,4.29E-11,-1.03E+01,15.410662,-9.51E-01,AM989471.1,NA,KIAA1549,
11742223_a_at,1.07E-08,4.31E-11,-1.03E+01,15.405732,-1.14,NM_003703.1,NA,NOP14,
11747041_x_at,1.11E-08,4.49E-11,-1.02E+01,15.367213,-9.14E-01,AK303082.1,NA,CCT4,
11728984_a_at,1.13E-08,4.60E-11,-1.02E+01,15.341806,-2.6,NM_015440.3,NA,MTHFD1L,
11717096_a_at,1.13E-08,4.61E-11,-1.02E+01,15.341041,-1.86,AW474070,NA,HSPH1,
11719725_at,1.20E-08,4.95E-11,-1.02E+01,15.271685,-1.16,NM_014878.4,NA,PUM3,
11731516_at,1.24E-08,5.11E-11,-1.02E+01,15.238873,-1.15,AK057924.1,NA,XPO4,
11716881_a_at,1.26E-08,5.25E-11,1.02E+01,15.213581,1.51,NM_015113.3,NA,ZZEF1,
200054_PM_at,1.26E-08,5.27E-11,-1.02E+01,15.208776,-9.65E-01,NM_003904.1,NA,ZPR1,
11715813_at,1.26E-08,5.30E-11,1.02E+01,15.204693,2.09,NM_001099668.1,NA,HIGD1A,
11715698_a_at,1.27E-08,5.34E-11,-1.02E+01,15.195705,-1.4,BC001883.1,NA,NOLC1,
11718549_a_at,1.27E-08,5.41E-11,-1.02E+01,15.18463,-7.52E-01,AY240961.1,NA,ILF3,
11725210_s_at,1.27E-08,5.41E-11,-1.02E+01,15.184538,-1.07,NM_152995.4,NA,NFXL1,
11725496_a_at,1.31E-08,5.61E-11,1.01E+01,15.147968,2.59,NM_032717.3,NA,GPAT3,
11748749_a_at,1.31E-08,5.65E-11,-1.01E+01,15.141102,-1.25,AK302219.1,NA,GTPBP4,
11720380_a_at,1.31E-08,5.66E-11,-1.01E+01,15.138848,-1.34,NM_000883.3,NA,IMPDH1,
11719640_a_at,1.33E-08,5.77E-11,-1.01E+01,15.120578,-9.80E-01,NM_032242.2,NA,PLXNA1,
11743355_x_at,1.33E-08,5.80E-11,1.01E+01,15.114977,1.91,BG741428,NA,PDCD4,
11743656_a_at,1.34E-08,5.89E-11,1.01E+01,15.100923,2.64,BX335988,NA,HPGD,
11732404_a_at,1.34E-08,5.90E-11,-1.01E+01,15.098512,-1.38,BC068514.1,NA,NKRF,
11730365_at,1.39E-08,6.12E-11,1.01E+01,15.063346,2.25,NM_000036.1,NA,AMPD1,
11721256_a_at,1.40E-08,6.20E-11,-1.01E+01,15.051,-1.47,BC000076.2,NA,CCND1,
11731464_at,1.44E-08,6.42E-11,1.01E+01,15.015677,2.6,AA541736,NA,CPM,
11759464_at,1.50E-08,6.70E-11,1.01E+01,14.975075,2.22,NM_178160.1,NA,OTOP2,
11755975_x_at,1.50E-08,6.76E-11,1.01E+01,14.965156,3.54,AJ420562.1,NA,PKIB,
11730436_x_at,1.50E-08,6.78E-11,-1.01E+01,14.962764,-1.12,NM_024116.2,NA,TAF1D,
11746468_a_at,1.51E-08,6.83E-11,-1.01E+01,14.955258,-9.83E-01,J05032.1,NA,DARS,
11733522_a_at,1.52E-08,6.92E-11,1.00E+01,14.942472,2.21,NM_138290.2,NA,RUNDC3B,
11755705_a_at,1.52E-08,6.93E-11,1.00E+01,14.940983,2.01,BC027861.1,NA,SMIM5,
11731460_at,1.53E-08,7.06E-11,1.00E+01,14.923598,2.65,CA308690,NA,CPM,
11751250_a_at,1.53E-08,7.07E-11,1.00E+01,14.922018,1.96,AK296644.1,NA,HHLA2,
11720330_at,1.53E-08,7.08E-11,-1.00E+01,14.920016,-1.28,NM_018321.3,NA,BRIX1,
11755540_a_at,1.53E-08,7.14E-11,-1.00E+01,14.912345,-1.65,AK091283.1,NA,PUS7,
11743582_a_at,1.53E-08,7.17E-11,-1.00E+01,14.907595,-1.39,BG182221,NA,EEF1E1,
11723312_a_at,1.53E-08,7.19E-11,1.00E+01,14.90471,1.27,NM_018663.1,NA,PXMP2,
11743766_a_at,1.54E-08,7.26E-11,-1.00E+01,14.895799,-8.23E-01,AL037208,NA,CUL4A,
11759011_at,1.63E-08,7.74E-11,-1.00E+01,14.832971,-1.59,BU742064,NA,PRPF4,
11717508_at,1.69E-08,8.06E-11,9.98,14.793332,2,NM_002460.2,NA,IRF4,
11744275_a_at,1.69E-08,8.08E-11,-9.98,14.790524,-1.28,CR613990.1,NA,WDR12,
11722685_s_at,1.69E-08,8.14E-11,9.98,14.783773,2.79,NM_001127671.1,NA,LIFR,
11741128_a_at,1.69E-08,8.16E-11,9.98,14.781259,9.89E-01,NM_001146068.1,NA,CAPN2,
11724538_a_at,1.75E-08,8.47E-11,9.96,14.744788,3.77,BC021281.2,NA,ABCG2,
11746340_a_at,1.78E-08,8.68E-11,-9.95,14.721142,-8.36E-01,BC146810.1,NA,NOL8,
11743406_x_at,1.78E-08,8.68E-11,9.95,14.720459,1.73,BG183516,NA,SMIM14,
11743157_a_at,1.78E-08,8.71E-11,9.95,14.717504,1.49,EU093082.1,NA,ETFDH,
11726344_at,1.78E-08,8.76E-11,9.95,14.712181,1.59,NM_005814.1,NA,GPA33,
11743617_at,1.78E-08,8.85E-11,-9.94,14.701863,-1.41,BM979113,NA,ITGA2,
11755393_a_at,1.78E-08,8.85E-11,9.94,14.701658,2.5,AK027132.1,NA,HHLA2,
11751732_x_at,1.83E-08,9.14E-11,-9.93,14.670327,-6.60E-01,AK315877.1,NA,FAM136A,
11726289_at,1.83E-08,9.16E-11,9.93,14.668561,1.39,BC008590.1,NA,GRAMD3,
11725226_at,1.84E-08,9.22E-11,9.92,14.661975,3.16,AK290253.1,NA,CHP2,
11746142_a_at,1.86E-08,9.35E-11,9.92,14.647575,1.69,BC136343.1,NA,ZNF611,
